manufacturer_name,product_name,price,price_date
"Abernathy, Lind and Fritsch","Product 1",6.4733,2026-04-23
"Abernathy, Lind and Fritsch","Product 1",72.0913,2026-04-20
Douglas-Lehner,"Product 2",11.5276,2026-04-23
Douglas-Lehner,"Product 2",11.5276,2026-04-23
"Lueilwitz and Sons","Product 3",1.9914,2026-04-20
"Lueilwitz and Sons","Product 3",91.1212,2026-04-23
Schowalter-McGlynn,"Product 5",12.2737,2026-04-20
Schowalter-McGlynn,"Product 5",81.1675,2026-04-23
"Collier, Hirthe and Maggio","Product 6",96.8731,2026-04-20
"Collier, Hirthe and Maggio","Product 6",96.8731,2026-04-20
"Corkery and Sons","Product 8",36.5590,2026-04-23
"Corkery and Sons","Product 8",39.5216,2026-04-20
"Metz Inc","Product 10",47.9978,2026-04-20
"Metz Inc","Product 10",63.9522,2026-04-20
Upton-Skiles,"Product 11",52.4760,2026-04-20
Upton-Skiles,"Product 11",78.2637,2026-04-23
Fadel-Jerde,"Product 12",77.1419,2026-04-23
Fadel-Jerde,"Product 12",77.1419,2026-04-23
"Kuphal, Mraz and Gusikowski","Product 13",11.5080,2026-04-20
"Kuphal, Mraz and Gusikowski","Product 13",58.6568,2026-04-20
Upton-Skiles,"Product 14",77.7826,2026-04-23
Upton-Skiles,"Product 14",77.7826,2026-04-23
"Zulauf, Wintheiser and Altenwerth","Product 15",12.1890,2026-04-23
"Zulauf, Wintheiser and Altenwerth","Product 15",12.1890,2026-04-23
"Toy, Kutch and Mraz","Product 17",23.8961,2026-04-20
"Toy, Kutch and Mraz","Product 17",77.2018,2026-04-23
"Carroll, Franecki and Block","Product 18",97.3838,2026-04-23
"Carroll, Franecki and Block","Product 18",97.3838,2026-04-23
Schowalter-McGlynn,"Product 19",19.7816,2026-04-20
Schowalter-McGlynn,"Product 19",76.9255,2026-04-20
O'Reilly-Johnston,"Product 21",1.4214,2026-04-20
O'Reilly-Johnston,"Product 21",56.0670,2026-04-20
Keebler-Nolan,"Product 22",30.0536,2026-04-23
Keebler-Nolan,"Product 22",56.0814,2026-04-20
Schowalter-McGlynn,"Product 24",56.6635,2026-04-20
Schowalter-McGlynn,"Product 24",74.8224,2026-04-23
Franecki-Nikolaus,"Product 26",4.0233,2026-04-20
Franecki-Nikolaus,"Product 26",60.6165,2026-04-20
"Jerde, Pfannerstill and Jast","Product 27",49.2825,2026-04-23
"Jerde, Pfannerstill and Jast","Product 27",49.2825,2026-04-23
Grady-Baumbach,"Product 28",39.8031,2026-04-20
Grady-Baumbach,"Product 28",79.4465,2026-04-23
"Abernathy, Lind and Fritsch","Product 29",72.1997,2026-04-20
"Abernathy, Lind and Fritsch","Product 29",72.1997,2026-04-20
"McClure, Kuhic and Rolfson","Product 30",18.0179,2026-04-23
"McClure, Kuhic and Rolfson","Product 30",57.6109,2026-04-20
Keebler-Nolan,"Product 32",9.5540,2026-04-20
Keebler-Nolan,"Product 32",67.0389,2026-04-23
"Friesen Group","Product 34",36.5184,2026-04-20
"Friesen Group","Product 34",90.6329,2026-04-23
"McClure, Kuhic and Rolfson","Product 35",21.1485,2026-04-23
"McClure, Kuhic and Rolfson","Product 35",21.1485,2026-04-23
"Hill, Nikolaus and Watsica","Product 36",10.7953,2026-04-20
"Hill, Nikolaus and Watsica","Product 36",29.4915,2026-04-20
Douglas-Lehner,"Product 37",65.2195,2026-04-20
Douglas-Lehner,"Product 37",71.2540,2026-04-20
"Jacobi Group","Product 39",1.2411,2026-04-20
"Jacobi Group","Product 39",91.5114,2026-04-23
Franecki-Nikolaus,"Product 41",36.2342,2026-04-20
Franecki-Nikolaus,"Product 41",41.4665,2026-04-20
"Cummerata Inc","Product 42",59.1925,2026-04-23
"Cummerata Inc","Product 42",59.1925,2026-04-23
Hessel-Hermiston,"Product 43",40.4501,2026-04-20
Hessel-Hermiston,"Product 43",75.8722,2026-04-20
"Corkery and Sons","Product 44",26.5506,2026-04-20
"Corkery and Sons","Product 44",47.0344,2026-04-20
"Cummerata Inc","Product 45",56.9718,2026-04-20
"Cummerata Inc","Product 45",97.4184,2026-04-23
